"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"CHEKW","Check-Cap Ltd.","0.82","0","n/a","2015","Health Care","Medical Electronics","http://www.nasdaq.com/symbol/chekw",
"CVR","Chicago Rivet & Machine Co.","30.1115","29091683.718","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cvr",
"CADC","China Advanced Construction Materials Group, Inc.","2.4","5730444","n/a","n/a","Basic Industries","Engineering & Construction","http://www.nasdaq.com/symbol/cadc",
"CALI","China Auto Logistics Inc.","2.9543","11918810.1942","n/a","n/a","Consumer Services","Motor Vehicles","http://www.nasdaq.com/symbol/cali",
"CBAK","China BAK Battery, Inc.","1.9","37136389.2","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cbak",
"CCCL","China Ceramics Co., Ltd.","2.25","6300247.5","n/a","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/cccl",
"CCCR","China Commercial Credit, Inc.","1.76","27874315.04","n/a","2013","Finance","Major Banks","http://www.nasdaq.com/symbol/cccr",
"CNIT","China Information Technology, Inc.","0.83","33292261.97","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cnit",
"CJJD","China Jo-Jo Drugstores, Inc.","1.74","33709896.96","n/a","n/a","Consumer Durables","Specialty Chemicals","http://www.nasdaq.com/symbol/cjjd",
"CLDCW","China Lending Corporation","0.1979","0","n/a","2014","Finance","Diversified Financial Services","http://www.nasdaq.com/symbol/cldcw",
"CHNR","China Natural Resources, Inc.","1.701","42373468.116","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/chnr",
"BORN","China New Borun Corporation","1.37","35243250","n/a","2010","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/born",
"CPHI","China Pharma Holdings, Inc.","0.21","9151706.97","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cphi",
"CREG","China Recycling Energy Corporation","1.61","13379418.78","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/creg",
"CNTF","China TechFaith Wireless Communication Technology Limited","2.47","17929697.89","7258987","2005","n/a","n/a","http://www.nasdaq.com/symbol/cntf",
"XNY","China Xiniya Fashion Limited","1.55","22060054.15","n/a","2010","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/xny",
"CNET","ChinaNet Online Holdings, Inc.","1.4","17021604.6","n/a","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/cnet",
"CHSCL","CHS Inc","29.72","0","n/a","n/a","Consumer Services","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/chscl",
"CIDM","Cinedigm Corp","2.04","17219521.68","n/a","n/a","Consumer Services","Consumer Electronics/Video Chains","http://www.nasdaq.com/symbol/cidm",
"CZFC","Citizens First Corporation","17","34001479","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/czfc",
"CIVBP","Civista Bancshares, Inc. ","47.65","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/civbp",
"CKX","CKX Lands, Inc.","10.9","21173195.5","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ckx",
"CDTI","Clean Diesel Technologies, Inc.","3.18","12526093.14","n/a","n/a","Capital Goods","Pollution Control Equipment","http://www.nasdaq.com/symbol/cdti",
"CLNT","Cleantech Solutions International, Inc.","0.764","4000675.304","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/clnt",
"CBLI","Cleveland BioLabs, Inc.","1.68","18458438.88","n/a","2006","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/cbli",
"JVA","Coffee Holding Co., Inc.","5.42","32662453.86","n/a","2005","Consumer Non-Durables","Food Distributors","http://www.nasdaq.com/symbol/jva",
"CGNT","Cogentix Medical, Inc.","1.76","46013966.24","n/a","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/cgnt",
"CBMX","CombiMatrix Corporation","2.2","5230783.8","n/a","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/cbmx",
"CBMXW","CombiMatrix Corporation","0.77","0","n/a","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/cbmxw",
"CCV","Comcast Corporation","26.2","0","n/a","2012","Consumer Services","Television Services","http://www.nasdaq.com/symbol/ccv",
"CCZ","Comcast Corporation","50.34","0","n/a","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/ccz",
"MOC","Command Security Corporation","2.6","25460806.8","n/a","n/a","Consumer Services","Diversified Commercial Services","http://www.nasdaq.com/symbol/moc",
"JCS","Communications Systems, Inc.","4.42","39169403.52","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/jcs",
"CYHHZ","Community Health Systems, Inc.","0.009","0","n/a","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/cyhhz",
"CHCI","Comstock Holding Companies, Inc.","1.85","6310923.5","n/a","2004","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/chci",
"LODE","Comstock Mining, Inc.","0.2399","44259931.1548","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/lode",
"CNAT","Conatus Pharmaceuticals Inc.","1.91","42184042.26","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cnat",
"CDOR","Condor Hospitality Trust, Inc.","1.67","8270157.3","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cdor",
"CNXR","Connecture, Inc.","1.87","41783399.68","n/a","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cnxr",
"CUO","Continental Materials Corporation","22.55","37729915.85","n/a","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/cuo",
"CFRXW","ContraFect Corporation","0.075","0","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cfrxw",
"CPAAU","Conyers Park Acquisition Corp.","11.4","0","n/a","2016","Finance","Business Services","http://www.nasdaq.com/symbol/cpaau",
"CPAAW","Conyers Park Acquisition Corp.","2.47","0","n/a","2016","Finance","Business Services","http://www.nasdaq.com/symbol/cpaaw",
"COYN","COPsync, Inc.","0.85","7555628.75","n/a","n/a","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/coyn",
"COYNW","COPsync, Inc.","0.1598","0","n/a","n/a","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/coynw",
"GYC","Corporate Asset Backed Corp CABCO","23.95","0","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/gyc",
"CPAH","CounterPath Corporation","1.95","8880978.6","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cpah",
"COWNL","Cowen Group, Inc.","26.25","0","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/cownl",
"CPSH","CPS Technologies Corp.","1.57","20729394.52","n/a","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/cpsh",
"SLVO","Credit Suisse Silver Shares Covered Call ETN","9.1477","7775545","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/slvo",
"XRDC","Crossroads Capital, Inc.","1.5799","15241044.0959","n/a","2011","n/a","n/a","http://www.nasdaq.com/symbol/xrdc",
"CRDS","Crossroads Systems, Inc.","3.75","4595520","n/a","1999","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/crds",
"CYRX","CryoPort, Inc.","2.16","32660234.64","n/a","n/a","Capital Goods","Containers/Packaging","http://www.nasdaq.com/symbol/cyrx",
"CYRXW","CryoPort, Inc.","0.44","0","n/a","n/a","Capital Goods","Containers/Packaging","http://www.nasdaq.com/symbol/cyrxw",
"CRVP","Crystal Rock Holdings, Inc.","0.84","17941065.24","n/a","n/a","Consumer Non-Durables","Food Distributors","http://www.nasdaq.com/symbol/crvp",
"CSPI","CSP Inc.","10.02","38178574.74","n/a","1982","Technology","EDP Services","http://www.nasdaq.com/symbol/cspi",
"CTIB","CTI Industries Corporation","6.2","20903324.8","n/a","1997","Basic Industries","Specialty Chemicals","http://www.nasdaq.com/symbol/ctib",
"CMLS","Cumulus Media Inc.","1.55","45423487.8","n/a","1998","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/cmls",
"SRF","Cushing Energy Income Fund (The)","9.42","23314396.38","n/a","2012","n/a","n/a","http://www.nasdaq.com/symbol/srf",
"CUBS","Customers Bancorp, Inc","26.63","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cubs",
"CYAN","Cyanotech Corporation","4.0841","23074201.1524","n/a","n/a","Consumer Durables","Specialty Chemicals","http://www.nasdaq.com/symbol/cyan",
"CYCC","Cyclacel Pharmaceuticals, Inc.","4.1","12785394.9","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cycc",
"CYCCP","Cyclacel Pharmaceuticals, Inc.","6.54","2192685.42","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cyccp",
"CBAY","CymaBay Therapeutics Inc.","1.63","38218614.89","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cbay",
"CYTX","Cytori Therapeutics Inc","1.829","37484200.901","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/cytx",
"CYTXW","Cytori Therapeutics Inc","0.82","0","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/cytxw",
"CYTR","CytRx Corporation","0.4816","46687783.4752","n/a","1986","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/cytr",
"DRIO","DarioHealth Corp.","3.24","18511360.92","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/drio",
"DRIOW","DarioHealth Corp.","0.85","0","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/driow",
"DZSI","DASAN Zhone Solutions, Inc.","1.05","36089829.3","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/dzsi",
"DAIO","Data I/O Corporation","3.5","27899504.5","n/a","1981","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/daio",
"DRAM","Dataram Corporation","1.06","3919495.22","n/a","n/a","Technology","Electronic Components","http://www.nasdaq.com/symbol/dram",
"DXR","Daxor Corporation","8.12","31067022.56","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/dxr",
"DHRM","Dehaier Medical Systems Limited","1.5","10232833.5","n/a","2010","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/dhrm",
"TACOW","Del Taco Restaurants, Inc.","4.9","0","n/a","2014","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/tacow",
"DCTH","Delcath Systems, Inc.","2.2378","3405781.6674","n/a","2000","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/dcth",
"DELT","Delta Technology Holdings Limited","1.2","11542622.4","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/delt",
"DELTW","Delta Technology Holdings Limited","0.15","0","n/a","2013","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/deltw",
"DSWL","Deswell Industries, Inc.","1.76","28258980.64","n/a","1995","Consumer Non-Durables","Plastic Products","http://www.nasdaq.com/symbol/dswl",
"DTRM","Determine, Inc. ","2.11","24073319.16","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/dtrm",
"DKT","Deutsch Bk Contingent Cap Tr V","24.95","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/dkt",
"DTK","Deutsche Bank AG","24.45","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/dtk",
"DXB","Deutsche Bank AG","22.99","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/dxb",
"DXTR","Dextera Surgical Inc.","1.7199","15354974.817","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/dxtr",
"DGSE","DGSE Companies, Inc.","0.85","10505546.1","n/a","n/a","Consumer Services","Consumer Specialties","http://www.nasdaq.com/symbol/dgse",
"DCIX","Diana Containerships Inc.","2.415","22607476.71","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dcix",
"DSXN","Diana Shipping inc.","22.9399","0","n/a","2015","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dsxn",
"DGLY","Digital Ally, Inc.","5.85","31464113.85","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/dgly",
"DPW","Digital Power Corporation","0.59","3997822.89","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/dpw",
"APPS","Digital Turbine, Inc.","0.7365","49075945.419","n/a","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/apps",
"DDT","Dillard&#39;s, Inc.","26.1672","0","n/a","n/a","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/ddt",
"DPRX","Dipexium Pharmaceuticals, Inc.","1.95","20276252.1","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/dprx",
"SAUC","Diversified Restaurant Holdings, Inc.","1.1","29323179.6","n/a","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/sauc",
"DSS","Document Security Systems, Inc.","0.56","7266972.72","n/a","n/a","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/dss",
"DCUD","Dominion Resources, Inc.","50.1","0","n/a","2016","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/dcud",
"DRUA","Dominion Resources, Inc.","25.01","0","n/a","2016","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/drua",
"EAGLU","Double Eagle Acquisition Corp.","10.34","0","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/eaglu",
"EAGLW","Double Eagle Acquisition Corp.","0.4409","0","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/eaglw",
"DDE","Dover Downs Gaming & Entertainment Inc","1.08","35655784.2","n/a","n/a","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/dde",
"DRWI","DragonWave Inc","3.75","20576925","n/a","2009","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/drwi",
"DRYS","DryShips Inc.","0.3726","694226.0844","n/a","2005","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/drys",
"DSKX","DS Healthcare Group, Inc.","0.6699","15110776.8735","n/a","n/a","Consumer Non-Durables","Package Goods/Cosmetics","http://www.nasdaq.com/symbol/dskx",
"DTJ","DTE Energy Company","25.52","0","n/a","2016","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/dtj",
"DTQ","DTE Energy Company","25.65","0","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/dtq",
"DTV","DTE Energy Company","51.5","0","n/a","2016","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/dtv",
"DTZ","DTE Energy Company","25.51","0","n/a","2011","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/dtz",
"DUKH","Duke Energy Corporation","26.4","0","n/a","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/dukh",
"DYSL","Dynasil Corporation of America","1.09","18357914.07","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/dysl",
"DYNT","Dynatronics Corporation","2.55","7259028.9","n/a","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/dynt",
"DYNC","Dynegy Inc.","75.44","0","n/a","2016","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/dync",
"GRF","Eagle Capital Growth Fund, Inc.","7.63","24899085.82","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/grf",
"ECCA","Eagle Point Credit Company Inc.","26.18","0","n/a","2015","n/a","n/a","http://www.nasdaq.com/symbol/ecca",
"ECCB","Eagle Point Credit Company Inc.","25.5301","0","n/a","2016","n/a","n/a","http://www.nasdaq.com/symbol/eccb",
"ECCZ","Eagle Point Credit Company Inc.","25.54","0","n/a","2015","n/a","n/a","http://www.nasdaq.com/symbol/eccz",
"EACQU","Easterly Acquisition Corp.","10.17","0","n/a","2015","Capital Goods","Building Products","http://www.nasdaq.com/symbol/eacqu",
"EACQW","Easterly Acquisition Corp.","0.58","0","n/a","2015","Capital Goods","Building Products","http://www.nasdaq.com/symbol/eacqw",
"EIA","Eaton Vance California Municipal Bond Fund II","12.6001","48960951.9759","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/eia",
"MAB","Eaton Vance Massachusetts Municipal Bond Fund","14.43","25519657.02","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/mab",
"MMV","Eaton Vance Massachusetts Municipal Income Trust","14.332","39226984.972","n/a","1999","n/a","n/a","http://www.nasdaq.com/symbol/mmv",
"MIW","Eaton Vance Michigan Municipal Bond Fund","14.32","21480930.8","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/miw",
"EMI","Eaton Vance Michigan Municipal Income Trust","13.5398","27255536.1612","n/a","1999","n/a","n/a","http://www.nasdaq.com/symbol/emi",
"EMJ","Eaton Vance New Jersey Municipal Bond Fund","13.6901","35306603.6188","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/emj",
"NYH","Eaton Vance New York Municipal Bond Fund II","12.57","32129435.37","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/nyh",
"EVGBC","Eaton Vance NextShares Trust","100.02","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/evgbc",
"EVSTC","Eaton Vance NextShares Trust","100.01","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/evstc",
"EVLMC","Eaton Vance NextShares Trust II","100.04","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/evlmc",
"EIO","Eaton Vance Ohio Municipal Bond Fund","14.1602","35924413.2398","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/eio",
"EVO","Eaton Vance Ohio Municipal Income Trust","14.28","40800201.96","n/a","1999","n/a","n/a","http://www.nasdaq.com/symbol/evo",
"EIP","Eaton Vance Pennsylvania Municipal Bond Fund","13.6399","40374649.596","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/eip",
"EVP","Eaton Vance Pennsylvania Municipal Income Trust","12.48","32460654.72","n/a","1999","n/a","n/a","http://www.nasdaq.com/symbol/evp",
"EBAYL","eBay Inc.","26.7811","0","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ebayl",
"ECT","ECA Marcellus Trust I","2.35","41371750","n/a","2010","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ect",
"ELON","Echelon Corporation","4.956","21955352.58","n/a","1998","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/elon",
"EEI","Ecology and Environment, Inc.","9.55","40966176.6","n/a","1987","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/eei",
"ECACR","E-compass Acquisition Corp.","0.6","0","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/ecacr",
"ECACU","E-compass Acquisition Corp.","10.801","0","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/ecacu",
"ESES","Eco-Stim Energy Solutions, Inc.","1.715","23400298.635","n/a","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/eses",
"EDUC","Educational Development Corporation","9.6","39178291.2","n/a","n/a","Consumer Durables","Consumer Specialties","http://www.nasdaq.com/symbol/educ",
"EFUT","eFuture Holding Inc.","6.1599","32422418.0535","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/efut",
"EMITF","Elbit Imaging Ltd.","3.85","35384610.8","n/a","n/a","Consumer Services","Building operators","http://www.nasdaq.com/symbol/emitf",
"ELMD","Electromed, Inc.","4.14","34018843.68","n/a","2011","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/elmd",
"ELSE","Electro-Sensors, Inc.","3.44","11680592.24","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/else",
"ELECW","Electrum Special Acquisition Corporation","0.29","0","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/elecw",
"ETAK","Elephant Talk Communications Corp.","0.18","29518534.98","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/etak",
"EBIO","Eleven Biotherapeutics, Inc.","2.03","40718344.94","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ebio",
"DWAC","Elkhorn Commodity Rotation Strategy ETF","24.92","4984049.84","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dwac",
"CAPX","Elkhorn S&P 500 Capital Expenditures Portfolio","24.4561","2543434.4","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/capx",
"ELTK","Eltek Ltd.","0.98","9939906.76","n/a","1997","Technology","Electrical Products","http://www.nasdaq.com/symbol/eltk",
"MSN","Emerson Radio Corporation","0.962","26098898.384","n/a","n/a","Consumer Non-Durables","Consumer Electronics/Appliances","http://www.nasdaq.com/symbol/msn",
"EMMS","Emmis Communications Corporation","3.7","45588591.7","n/a","1994","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/emms",
"ERS","Empire Resources, Inc.","4.985","42188124.79","n/a","n/a","Basic Industries","Metal Fabrications","http://www.nasdaq.com/symbol/ers",
"EFOI","Energy Focus, Inc.","4.27","49916428.1","n/a","n/a","Consumer Durables","Building Products","http://www.nasdaq.com/symbol/efoi",
"ENRJ","EnerJex Resources, Inc.","0.308","2594572.288","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/enrj",
"ENG","ENGlobal Corporation","1.4101","39199625.1281","n/a","n/a","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/eng",
"ENSV","ENSERVCO Corporation","0.51","19446381.6","n/a","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/ensv",
"ESNC","EnSync, Inc.","0.7055","33689615.2155","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/esnc",
"EAB","Entergy Arkansas, Inc.","25.49","0","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/eab",
"EAE","Entergy Arkansas, Inc.","25.35","0","n/a","2013","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/eae",
"EAI","Entergy Arkansas, Inc.","24.73","0","n/a","2016","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/eai",
"ELC","Entergy Louisiana, Inc.","24.73","0","n/a","2016","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/elc",
"ELJ","Entergy Louisiana, Inc.","25.61","0","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/elj",
"ELU","Entergy Louisiana, Inc.","25.36","0","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/elu",
"EMP","Entergy Mississippi, Inc.","24.69","0","n/a","2016","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/emp",
"ENJ","Entergy New Orleans, Inc.","25.65","0","n/a","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/enj",
"ENO","Entergy New Orleans, Inc.","26.3498","0","n/a","2016","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/eno",
"EZT","Entergy Texas Inc","27.2318","0","n/a","2014","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/ezt",
"ETRM","EnteroMedics Inc.","0.099","2702196.783","n/a","2007","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/etrm",
"EGT","Entertainment Gaming Asia Incorporated","1.5","21696330","n/a","n/a","Consumer Durables","Miscellaneous manufacturing industries","http://www.nasdaq.com/symbol/egt",
"EGI","Entree Gold Inc","0.2525","38590850.8825","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/egi",
"EQFN","Equitable Financial Corp.","8.7823","30537435.9211","n/a","2015","Finance","Savings Institutions","http://www.nasdaq.com/symbol/eqfn",
"EQCO","Equity Commonwealth","25.43","0","n/a","2012","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/eqco",
"EQS","Equus Total Return, Inc.","1.86","23572981.56","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/eqs",
"EAC           ","Erickson Incorporated","0.5","6947710.5","n/a","2012","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/eac",
"ESMC","Escalon Medical Corp.","0.391","2952609.13","n/a","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/esmc",
"UTES","ETFIS Series Trust I Reaves Utilities ETF","30.1","13545120.4","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/utes",
"CLWT","Euro Tech Holdings Company Limited","2.62","5402201.58","n/a","1997","Consumer Durables","Diversified Electronic Products","http://www.nasdaq.com/symbol/clwt",
"ESEA","Euroseas Ltd.","1.47","12047767.2","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/esea",
"EVK","Ever-Glory International Group, Inc.","2.4","35491056","n/a","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/evk",
"EVOK","Evoke Pharma, Inc.","1.78","21983640.8","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/evok",
"EYEG","Eyegate Pharmaceuticals, Inc.","1.59","14233493.97","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/eyeg",
"EYEGW","Eyegate Pharmaceuticals, Inc.","0.35","0","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/eyegw",
"FALC","FalconStor Software, Inc.","0.702","30445466.922","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/falc",
"DAVE","Famous Dave&#39;s of America, Inc.","5.15","35831784.2","n/a","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/dave",
"FHCO","Female Health Company (The)","0.97","28181086.99","n/a","n/a","Basic Industries","Specialty Chemicals","http://www.nasdaq.com/symbol/fhco",
"FCAM","Fiat Chrysler Automobiles N.V.","69.56","0","n/a","2014","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/fcam",
"FCSC","Fibrocell Science Inc","0.6726","29526322.791","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/fcsc",
"FPP","FieldPoint Petroleum Corporation","0.528","4699253.328","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/fpp",
"FSCE","Fifth Street Finance Corp.","25.6","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fsce",
"FSCFL","Fifth Street Finance Corp.","26.05","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fscfl",
"FNJN","Finjan Holdings, Inc.","1.66","37952425.62","n/a","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/fnjn",
"FAC","First Acceptance Corporation","0.89","36575472.93","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/fac",
"FFBCW","First Financial Bancorp.","9.73","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ffbcw",
